,event,timestamp
0,0,2019-02-25 16:27:22.898654
1,1,2019-02-25 16:27:23.537656
2,1,2019-02-25 16:27:28.520087
3,1,2019-02-25 16:27:29.884633
4,1,2019-02-25 16:27:30.185306
5,1,2019-02-25 16:27:30.506624
6,1,2019-02-25 16:27:31.104142
7,1,2019-02-25 16:27:32.207385
8,1,2019-02-25 16:27:32.850753
9,1,2019-02-25 16:27:33.151483
10,1,2019-02-25 16:27:33.452459
11,1,2019-02-25 16:27:33.980355
12,1,2019-02-25 16:27:34.661795
13,1,2019-02-25 16:27:36.960019
14,1,2019-02-25 16:27:37.260687
15,1,2019-02-25 16:27:40.607441
16,1,2019-02-25 16:27:41.028474
17,1,2019-02-25 16:27:41.329160
18,1,2019-02-25 16:27:41.630035
19,1,2019-02-25 16:27:41.930993
20,1,2019-02-25 16:27:42.231934
21,1,2019-02-25 16:27:42.532828
22,1,2019-02-25 16:27:42.833678
23,1,2019-02-25 16:27:43.134675
24,1,2019-02-25 16:27:43.435556
25,1,2019-02-25 16:27:43.736383
26,1,2019-02-25 16:27:44.037314
27,1,2019-02-25 16:27:44.338276
28,1,2019-02-25 16:27:44.639187
29,1,2019-02-25 16:27:44.940080
30,1,2019-02-25 16:27:45.241055
31,1,2019-02-25 16:27:45.542056
32,1,2019-02-25 16:27:45.843035
33,1,2019-02-25 16:27:46.205168
34,1,2019-02-25 16:27:46.518395
35,1,2019-02-25 16:27:46.819083
36,1,2019-02-25 16:27:47.119893
37,2,2019-02-25 16:27:49.634627
